ENTRY,BLOC,IBLK,Name1,Location,Locn,Year,Experiment.Name,Type,Trial,Check,Plot,Pass,Range,Column,HD,TW,PH,BUAC,FD,Can_Cover,X900nm,X975nm,Blue,Green,Red,RE1,RE2,NIR,NDVI,NDRE1,NDRE2,NWI1,NWI2,MTVI
24,2,5,ARS-SELBU-2-0,Davenport,DVP,2021,2021 AWY2 DVP,SWW,AWY2,0,63,0,8,2,NA,NA,NA,55,168,76.10346464,69.82030638,66.38343189,22.47801425,33.4560216,32.01862462,37.81220799,43.97924075,51.90782989,0.235844242,0.157574813,0.082686739,-0.024668697,-0.025233335,0.030362762
24,2,5,ARS-SELBU-2-0,Walla_Walla,WAL,2021,2021 AWY2 WAW,SWW,AWY2,0,63,0,8,2,NA,NA,NA,107,148,100,126.655267,99.99131013,30.50426362,44.04949927,39.15440714,54.0629096,69.91752013,83.44147985,0.361164297,0.21355476,0.088184976,-0.117479246,-0.117645531,0.059873727
15,3,5,ARS-SELBU-2-0,Davenport,DVP,2022,2022 AWY2 DVP,SWW,AWY2,0,85,1,15,1,NA,64.5,NA,71,178,98.30316742,96.87466787,76.01471621,24.89916501,36.70564544,33.45658169,51.65275385,64.34875234,76.29904867,0.38201801,0.19000113,0.084966109,-0.117971597,-0.120654902,0.091131494
15,3,5,ARS-SELBU-2-0,Farmington,FAR,2022,2022 AWY2 FMN,SWW,AWY2,0,85,1,15,1,NA,61.5,40,115,178,95.29623699,124.4591262,98.53699583,24.78427572,37.90471306,33.26556217,52.88124821,69.87577781,85.85640333,0.439332119,0.237646561,0.102616077,-0.115841088,-0.116244759,0.081237946
15,3,5,ARS-SELBU-2-0,Pullman,PUL,2022,2022 AWY2 PUL,SWW,AWY2,0,85,1,15,1,NA,64.6,NA,152,175,98.06813461,131.4110122,112.9677332,25.42802753,40.80502369,33.08065865,58.02442235,77.22992463,95.30737301,0.482467683,0.243140716,0.104774148,-0.075292646,-0.075470062,0.086872847
24,3,4,ARS-SELBU-2-0,Pullman,PUL,2021,2021 AWY2 PUL,SWW,AWY2,0,106,0,14,7,NA,NA,NA,74,155,98.43531713,107.6852422,97.26258108,28.41128031,41.7485432,38.61725203,63.46492413,80.74560701,95.51989093,0.422420883,0.20168651,0.083818354,-0.050392405,-0.050855193,0.110077408
24,3,4,ARS-SELBU-2-0,Davenport,DVP,2021,2021 AWY2 DVP,SWW,AWY2,0,106,0,14,7,NA,NA,NA,59,168,77.72121212,72.7934617,68.70563043,23.57491744,35.04756451,33.42835515,39.75078267,46.11795455,54.41961743,0.238516931,0.156146649,0.082572741,-0.028455287,-0.028889452,0.032367905
24,3,4,ARS-SELBU-2-0,Walla_Walla,WAL,2021,2021 AWY2 WAW,SWW,AWY2,0,106,0,14,7,NA,NA,NA,101,148,99.14110429,137.8673698,108.8561731,30.01966241,43.21130207,38.34299525,57.71277024,75.33879081,90.43274261,0.403795153,0.220564778,0.091052737,-0.1172167,-0.117585847,0.07885073
46,1,10,BRUEHL,Davenport,DVP,2019,2019 Dav Soft Prel 2,SWW,Prelim,5,28,NA,5,4,161,NA,32,97,NA,100,0.568907298,0.502239817,0.331381917,0.450928662,0.349358996,0.459100534,0.372828836,0.704549895,0.337022396,0.210930495,0.307896424,-0.062239332,-0.062239332,0.004069795
46,2,8,BRUEHL,Davenport,DVP,2019,2019 Dav Soft Prel 2,SWW,Prelim,5,72,NA,8,9,NA,NA,NA,69,NA,99.56820726,0.518036112,0.4298124,0.308611716,0.423927214,0.331741274,0.448373555,0.355629825,0.651321903,0.325086562,0.184549592,0.293650698,-0.093077861,-0.093077861,0.012583688
46,3,5,BRUEHL,Davenport,DVP,2019,2019 Dav Soft Prel 2,SWW,Prelim,5,111,NA,2,14,NA,NA,NA,82,NA,96.73300166,0.449324459,0.380338852,0.314504504,0.446157881,0.353499606,0.409372339,0.318988919,0.652128953,0.296957902,0.228691775,0.34304799,-0.083148919,-0.083148918,-0.018700054
232,1,1,BRUEHL,Lind,LND,2019,2019 Lind  Soft F5 SP,SWW,SP,1,34,NA,6,3,149,62.9,34,62,NA,72.89727,0.305691084,0.290178394,0.252375437,0.332208493,0.294165489,0.330434585,0.278496591,0.515387872,0.273264733,0.218666796,0.29839516,-0.026033704,-0.026033705,-0.000984961
232,1,3,BRUEHL,Lind,LND,2019,2019 Lind  Soft F5 SP,SWW,SP,1,100,NA,13,8,149,NA,33,55,NA,60.55871941,0.249592887,0.235189829,0.210416082,0.279837859,0.247704181,0.276902883,0.22911039,0.427856424,0.266670735,0.214191624,0.30252066,-0.029710339,-0.029710337,-0.001733965
232,1,4,BRUEHL,Lind,LND,2019,2019 Lind  Soft F5 SP,SWW,SP,1,166,NA,3,12,149,NA,36,59,NA,78.03943557,0.33019467,0.319849396,0.25721639,0.339468908,0.300302257,0.348586914,0.29074116,0.524901173,0.272173997,0.201850788,0.287086635,-0.015914727,-0.015914727,0.005025183
232,1,6,BRUEHL,Lind,LND,2019,2019 Lind  Soft F5 SP,SWW,SP,1,232,NA,8,17,149,NA,33,50,NA,19.49407394,0.084876557,0.080493436,0.063788021,0.084257791,0.073149813,0.070068524,0.060253515,0.131169851,0.283966983,0.303626618,0.370468546,-0.026504932,-0.026504936,-0.011017011
64,1,21,BRUEHL,Lind,LND,2020,2020 LoRain Soft Prel LND,SWW,Prelim,4,61,0,6,6,146,63.6,30,57,149,65.7287706,66.93714733,62.56764758,23.1550896,32.47306217,31.54663883,39.73407207,48.58868638,55.25259021,0.271404017,0.163226986,0.06417394,-0.032103295,-0.033740062,0.041057676
64,2,7,BRUEHL,Lind,LND,2020,2020 LoRain Soft Prel LND,SWW,Prelim,4,87,0,8,2,NA,NA,NA,39,149,47.73018723,48.70654478,46.63996282,19.58975374,27.21852734,27.01823511,32.47661572,38.13428993,41.91014735,0.218734582,0.128648705,0.047172015,-0.021126912,-0.021674438,0.0293243
279,1,1,BRUEHL,Lind,LND,2020,2020 Lind Soft F5 SP,SWW,SP,1,34,0,2,1,146,63.1,30,40,149,36.68850506,39.38313375,37.12462175,14.30320205,20.39953992,19.54383798,24.1201454,28.77499855,32.63436834,0.251221615,0.150438014,0.062846598,-0.028926627,-0.02952004,0.020308625
279,1,1,BRUEHL,Lind,LND,2020,2020 Lind Soft F5 SP,SWW,SP,1,100,0,6,3,145,NA,31,56,149,54.34083601,56.52094989,52.96140499,20.32398547,28.39609188,27.63341082,34.5528243,41.87041609,47.32798766,0.263116611,0.156487139,0.061184633,-0.031650201,-0.032512499,0.034121469
279,1,2,BRUEHL,Lind,LND,2020,2020 Lind Soft F5 SP,SWW,SP,1,166,0,10,5,145,NA,32,57,149,54.3767313,56.02180023,52.5607294,20.51108475,28.63848865,28.09250085,35.54647181,42.60477092,47.84532036,0.262433235,0.14909453,0.057938575,-0.03057384,-0.031875025,0.037773557
279,1,3,BRUEHL,Lind,LND,2020,2020 Lind Soft F5 SP,SWW,SP,1,232,0,14,7,146,NA,32,58,149,64.82813749,65.20345023,60.73667933,23.12342736,32.36706805,31.57942843,40.43795958,48.96012514,55.1627193,0.272191969,0.154623231,0.059569965,-0.03383154,-0.035467415,0.045339662
279,1,3,BRUEHL,Lind,LND,2020,2020 Lind Soft F5 SP,SWW,SP,1,298,0,18,9,145,NA,33,64,149,69.03015485,67.06041353,61.19092847,23.19308309,32.35053262,31.23524909,40.10665571,49.22743677,56.10176673,0.281102085,0.165127189,0.065265185,-0.043317367,-0.045765486,0.045113661
373,1,2,BRUEHL,Lind,LND,2020,2020 Lind SWW DH SP,SWW,SP,1,364,0,8,5,146,NA,29,40,149,33.42424242,35.03346176,31.71234844,13.00261399,18.44639674,17.8368078,21.40145116,26.1967467,29.52860788,0.247358321,0.1600211,0.059790758,-0.048796325,-0.04975763,0.016092409
373,1,3,BRUEHL,Lind,LND,2020,2020 Lind SWW DH SP,SWW,SP,1,100,0,3,8,145,NA,30,53,149,56.02326225,55.24691549,50.35470233,19.72978538,27.95279944,27.1390294,33.77760518,41.15355597,46.57619672,0.261288211,0.15873381,0.061810738,-0.044667961,-0.046327066,0.033440216
373,1,7,BRUEHL,Lind,LND,2020,2020 Lind SWW DH SP,SWW,SP,1,166,0,4,19,146,NA,29,32,149,32.71396396,32.54416289,30.39937258,12.68570944,17.97643766,17.61665974,20.74647198,24.8544982,27.70884881,0.22283386,0.14373729,0.05430306,-0.033203177,-0.034074831,0.015908606
373,1,8,BRUEHL,Lind,LND,2020,2020 Lind SWW DH SP,SWW,SP,1,298,0,7,22,146,NA,31,48,149,43.72402328,45.35192795,41.4889582,17.07837101,24.18125115,23.56913187,28.0940989,34.19731757,38.49404187,0.240460213,0.156616419,0.059109148,-0.043455702,-0.044483306,0.021399732
373,1,12,BRUEHL,Lind,LND,2020,2020 Lind SWW DH SP,SWW,SP,1,34,0,1,34,146,63.6,30,46,149,61.5477997,62.05369876,57.53185032,22.51469632,32.18174872,31.26855409,38.52626073,46.64864805,52.55600453,0.253718714,0.15413811,0.059547172,-0.036713303,-0.037812666,0.03597202
373,1,15,BRUEHL,Lind,LND,2020,2020 Lind SWW DH SP,SWW,SP,1,232,0,6,45,145,NA,31,52,149,58.38472834,60.31014565,54.70491155,21.89020471,31.15886906,30.1533067,36.48053032,44.53805215,50.64874156,0.253042362,0.162719723,0.064196819,-0.04759308,-0.048734785,0.029517458
64,3,17,BRUEHL,Lind,LND,2020,2020 LoRain Soft Prel LND,SWW,Prelim,4,183,0,17,7,NA,NA,NA,44,149,38.11383929,39.49250777,36.31025823,14.04829168,19.84142199,19.26577508,24.54452975,29.65275945,33.56607154,0.269793356,0.155502657,0.061901051,-0.040370732,-0.041980652,0.025656355
3,1,5,BRUEHL,Harrington,HAR,2020,2020 AWY1 HRN,SWW,AWY1,3,13,0,2,4,NA,NA,26,50,162,39.13043478,38.74905385,35.25596107,14.03307459,19.41077964,18.96907493,21.84791089,26.68551399,30.72632664,0.235619447,0.168242395,0.070382914,-0.046340295,-0.047200758,0.014930245
3,1,5,BRUEHL,Lind,LND,2020,2020 AWY1 LND,SWW,AWY1,3,13,0,2,4,146,64,31,60,149,55.00138543,61.73754554,57.74921348,21.63075945,31.12379972,30.02985355,37.76802554,45.14157645,51.33835013,0.261505259,0.153087416,0.064228632,-0.031627048,-0.033378862,0.033854599
3,1,5,BRUEHL,Pullman,PUL,2020,2020 AWY1 PUL,SWW,AWY1,3,13,0,2,4,156,61.7,45,158,163,99.95951417,163.288194,137.2989596,30.48038856,45.45925282,39.52579515,86.45975923,114.3690087,141.2280164,0.561143609,0.240070289,0.105083413,-0.085987616,-0.086461561,0.144649862
3,1,5,BRUEHL,Ritzville,RIT,2020,2020 AWY1 RIT,SWW,AWY1,3,13,0,2,4,151,59.9,34,88,149,60.94825389,59.66937759,55.45486187,19.20375997,28.90931043,26.75165937,32.13667851,39.03966022,43.81183306,0.24130885,0.153434526,0.057599117,-0.034783456,-0.036608413,0.021092896
69,1,6,BRUEHL,Lind,LND,2021,2021 SWW LoRain Prel LND,SWW,Prelim,3,16,0,2,9,143,NA,28,32,141,86.24443345,87.42217727,96.57906912,36.27544253,48.8164897,48.80501454,55.12955213,63.19900766,68.48307827,0.166411803,0.107071996,0.040127483,0.050427655,0.049765379,0.038072573
69,1,6,BRUEHL,Davenport,DVP,2021,2021 SWW LoRain Prel DVP,SWW,Prelim,3,16,0,2,9,168,NA,29,48,168,93.47475832,101.213819,91.4222727,28.53681608,42.05784737,38.50596821,53.94734354,64.0873975,76.3142898,0.326592698,0.171014424,0.087085081,-0.049944529,-0.050829241,0.071102892
3,1,10,Bruehl,Davenport,DVP,2019,2019 AWY1 DVP,SWW,AWY1,3,28,NA,5,4,161,62.1,35,109,NA,100,0.555954376,0.47776527,0.355278807,0.488204732,0.375943116,0.447748218,0.361169212,0.754308287,0.334761956,0.255029665,0.352440166,-0.075638599,-0.075638599,-0.019435389
3,1,10,BRUEHL,Pullman,PUL,2019,2019 AWY1 PUL,SWW,AWY1,3,28,NA,5,4,163,60.4,33,102,NA,100,0.401573462,0.382197759,0.344119612,0.460254313,0.362952986,0.445427338,0.343948786,0.731506835,0.336744979,0.243071791,0.36036638,-0.024721121,-0.024721121,-0.007243733
3,1,10,BRUEHL,Ritzville,RIT,2019,2019 AWY1 RIT,SWW,AWY1,3,28,NA,5,4,152,61.8,37,87,NA,88.31667948,0.416324335,0.372613682,0.301978179,0.404710127,0.324538926,0.359637549,0.275990005,0.637375911,0.325223162,0.278570323,0.395663884,-0.05540442,-0.05540442,-0.023436374
3,2,1,BRUEHL,Harrington,HAR,2020,2020 AWY1 HRN,SWW,AWY1,3,50,0,7,2,NA,NA,28,43,162,32.13289963,30.63775493,28.18227234,11.54741533,16.00378074,15.61117349,17.42700707,21.09072905,24.34269423,0.218058596,0.165048927,0.071576495,-0.041313524,-0.041745689,0.009115548
3,2,1,BRUEHL,Lind,LND,2020,2020 AWY1 LND,SWW,AWY1,3,50,0,7,2,NA,NA,NA,70,149,71.68504745,77.75840504,70.83531543,23.98678367,33.99378089,32.80596423,45.19659118,55.85746908,64.15984585,0.321120463,0.174055884,0.069176492,-0.043893166,-0.046590728,0.05934537
3,2,1,BRUEHL,Pullman,PUL,2020,2020 AWY1 PUL,SWW,AWY1,3,50,0,7,2,NA,NA,NA,175,163,99.17971663,162.8863255,139.0094164,30.37304089,46.11512963,40.17374157,89.63006916,117.0669098,143.0708581,0.560171523,0.229133969,0.099962218,-0.078705047,-0.079089917,0.150399289
3,2,1,BRUEHL,Ritzville,RIT,2020,2020 AWY1 RIT,SWW,AWY1,3,50,0,7,2,NA,NA,NA,76,149,66.48601778,68.7469781,60.37310708,20.10800908,29.21046832,27.03258549,32.95559539,42.38857244,49.0617426,0.290220627,0.196256036,0.072970445,-0.06335745,-0.064853357,0.024411503
3,2,3,BRUEHL,Davenport,DVP,2019,2019 AWY1 DVP,SWW,AWY1,3,55,NA,7,7,NA,NA,NA,86,NA,100,0.518827623,0.450689125,0.33771312,0.462945792,0.359127771,0.421385995,0.338934649,0.715677685,0.331734373,0.258817246,0.357233671,-0.070280888,-0.070280888,-0.0204905
3,2,3,BRUEHL,Pullman,PUL,2019,2019 AWY1 PUL,SWW,AWY1,3,55,NA,7,7,NA,NA,NA,120,NA,99.63147626,0.392307098,0.391385152,0.350758079,0.475268919,0.375079842,0.46006828,0.34744655,0.741754148,0.328315855,0.234382269,0.362015558,-0.001176413,-0.001176413,-0.007347955
3,2,3,BRUEHL,Ritzville,RIT,2019,2019 AWY1 RIT,SWW,AWY1,3,55,NA,7,7,NA,NA,NA,86,NA,83.42360319,0.386977985,0.348646987,0.296658843,0.405370674,0.326322575,0.340791291,0.259859073,0.620493259,0.310694724,0.290966882,0.409647561,-0.052106711,-0.052106711,-0.033777909
69,2,5,BRUEHL,Lind,LND,2021,2021 SWW LoRain Prel LND,SWW,Prelim,3,86,0,8,11,NA,NA,NA,29,141,71.09617373,70.05589611,77.64847487,30.62049476,41.56740701,41.6386609,43.7755093,49.76087536,53.59365562,0.12380225,0.099846633,0.037083815,0.0518739,0.051403887,0.013528229
69,2,5,BRUEHL,Davenport,DVP,2021,2021 SWW LoRain Prel DVP,SWW,Prelim,3,86,0,8,11,NA,NA,NA,48,168,79.08695652,78.3584977,72.67269096,25.84908116,38.02998747,35.59681537,44.58388056,51.26831286,60.19072942,0.255111277,0.148637268,0.080051079,-0.037008914,-0.037646573,0.041644941
3,3,6,BRUEHL,Davenport,DVP,2019,2019 AWY1 DVP,SWW,AWY1,3,113,NA,1,15,NA,NA,NA,78,NA,94.4637725,0.443762188,0.402013798,0.3141486,0.452818394,0.354795563,0.394144827,0.308998438,0.650112205,0.293874375,0.245119133,0.355656325,-0.049361048,-0.049361049,-0.029830866
3,3,6,BRUEHL,Pullman,PUL,2019,2019 AWY1 PUL,SWW,AWY1,3,113,NA,1,15,NA,NA,NA,116,NA,99.32432432,0.395213587,0.361749487,0.342817214,0.460813863,0.362787344,0.410922726,0.319277684,0.727827425,0.334710377,0.278291685,0.390170707,-0.044208365,-0.044208365,-0.024417547
3,3,6,BRUEHL,Ritzville,RIT,2019,2019 AWY1 RIT,SWW,AWY1,3,113,NA,1,15,NA,NA,NA,92,NA,72.39534573,0.323996323,0.288767589,0.257648349,0.35206416,0.283070714,0.288815094,0.219431689,0.539155509,0.311452965,0.302354231,0.421472734,-0.057491529,-0.057491529,-0.035113111
3,3,8,BRUEHL,Harrington,HAR,2020,2020 AWY1 HRN,SWW,AWY1,3,120,0,15,8,NA,NA,26,36,162,20.30409357,20.36656825,18.90446694,7.85841695,10.83024575,10.69354219,11.70979054,14.25045161,16.322244,0.208085967,0.164180827,0.067766101,-0.036827033,-0.037231036,0.005367758
3,3,8,BRUEHL,Lind,LND,2020,2020 AWY1 LND,SWW,AWY1,3,120,0,15,8,NA,NA,NA,57,149,63.59505175,64.53905791,58.99611623,22.50134757,32.04202509,31.04424176,39.17537421,47.71000926,54.145437,0.2693566,0.160333105,0.06318197,-0.043002812,-0.04486934,0.040029699
3,3,8,BRUEHL,Pullman,PUL,2020,2020 AWY1 PUL,SWW,AWY1,3,120,0,15,8,NA,NA,NA,170,163,98.09596344,155.1329018,131.5302772,31.2939424,47.01302196,41.03828824,84.66557286,110.7990345,135.6411033,0.528817004,0.229666079,0.100803664,-0.080515668,-0.082335739,0.133218944
3,3,8,BRUEHL,Ritzville,RIT,2020,2020 AWY1 RIT,SWW,AWY1,3,120,0,15,8,NA,NA,NA,82,149,51.06095679,50.27947721,44.80793486,15.6698223,23.02958644,21.26970036,25.05546388,31.99382268,36.75077665,0.267155967,0.189299409,0.069197494,-0.056054554,-0.057542236,0.013316615
109,1,1,BRUEHL,Lind,LND,2021,2021 Lind SWW DH SP,SWW,SP,1,97,0,13,1,142,NA,28,32,141,73.52320675,70.84043732,79.23974417,30.89312751,41.34364704,41.65018822,45.37539688,51.3908541,54.86910136,0.136743219,0.094462071,0.032733378,0.056443531,0.055965463,0.025956698
109,1,2,BRUEHL,Lind,LND,2021,2021 Lind SWW DH SP,SWW,SP,1,13,0,2,4,143,NA,29,30,141,94.95798319,94.37896657,106.2761113,43.12200392,57.2281117,58.0205303,65.05141212,72.7593137,77.39984237,0.143348507,0.086075215,0.030904067,0.059651018,0.059291521,0.047399775
109,1,3,BRUEHL,Lind,LND,2021,2021 Lind SWW DH SP,SWW,SP,1,55,0,7,7,144,NA,27,28,141,87.72563177,89.01891913,98.78327433,37.57436173,50.40431628,50.76013214,57.25718261,65.1192157,70.21939524,0.162056561,0.101870164,0.037684586,0.052437056,0.051992764,0.04192625
69,3,14,BRUEHL,Lind,LND,2021,2021 SWW LoRain Prel LND,SWW,Prelim,3,184,0,16,9,NA,NA,NA,28,141,83.55704698,84.06593028,91.85195689,33.56472482,45.65625078,45.54852712,49.66682653,57.44183608,62.64650214,0.15615845,0.114593768,0.043340312,0.044810983,0.044259437,0.025320224
69,3,14,BRUEHL,Davenport,DVP,2021,2021 SWW LoRain Prel DVP,SWW,Prelim,3,184,0,16,9,NA,NA,NA,38,168,61.64053076,59.29195504,56.14498676,20.71066278,30.49666258,28.8121073,34.69420366,39.45508822,45.84670589,0.22704531,0.138188327,0.074929464,-0.026879151,-0.027261362,0.027550407
378,1,3,BRUEHL,Lind,LND,2021,2021 Lind SWW F5 SP,SWW,SP,1,100,0,3,8,146,NA,29,32,141,73.99150743,72.00455346,80.1112726,31.75638813,42.72502686,43.0249519,45.25353231,51.3485588,54.85909753,0.120430623,0.09500784,0.033053537,0.053761669,0.053293069,0.016418651
378,1,3,BRUEHL,Lind,LND,2021,2021 Lind SWW F5 SP,SWW,SP,1,177,0,4,8,145,NA,31,35,141,81.26721763,79.87257967,88.27684225,33.65055635,45.46437,45.68371651,49.39375105,56.29913586,60.505088,0.139155588,0.100633009,0.036008562,0.050622411,0.049980919,0.025384505
378,1,8,BRUEHL,Lind,LND,2021,2021 Lind SWW F5 SP,SWW,SP,1,23,0,1,23,146,NA,29,36,141,67.34908136,65.34276666,71.30359395,28.53735674,38.48961305,38.37258347,39.74460805,45.64260834,49.61713604,0.125937632,0.109720791,0.041723057,0.044239365,0.043622291,0.006935642
378,1,8,BRUEHL,Lind,LND,2021,2021 Lind SWW F5 SP,SWW,SP,1,254,0,6,23,144,NA,30,32,141,63.76326075,61.92266414,67.92763585,28.03480508,38.03451721,38.20849865,39.10554297,44.30847433,47.64677034,0.109147186,0.097102067,0.036303487,0.046615335,0.046245343,0.006884152
378,1,13,BRUEHL,Lind,LND,2021,2021 Lind SWW F5 SP,SWW,SP,1,331,0,8,38,146,NA,30,27,141,28.24919441,27.55413328,29.86901243,13.35612935,17.99257205,18.18924591,18.01836505,20.28487962,21.62640811,0.086093934,0.090594529,0.032008763,0.040446308,0.04031265,3.19E-05
378,1,14,BRUEHL,Lind,LND,2021,2021 Lind SWW F5 SP,SWW,SP,1,408,0,9,40,145,NA,29,35,141,55.60747664,53.11509467,56.2438483,24.64839604,33.31909814,33.43420337,33.38829094,38.01104235,40.79748638,0.098769266,0.099011626,0.035357138,0.028945558,0.028609948,0.00017527
378,1,3,BRUEHL,Ritzville,RIT,2021,2021 Lind@RIT SWW F5 SP,SWW,SP,1,408,0,18,7,150,NA,31,55,152,77.96610169,86.36125993,83.89580188,27.22240989,40.20351253,37.95010394,47.13846802,56.70319755,64.90468145,0.260770853,0.158343271,0.067442044,-0.013816161,-0.014480798,0.040586895
378,1,3,BRUEHL,Ritzville,RIT,2021,2021 Lind@RIT SWW F5 SP,SWW,SP,1,100,0,5,8,150,NA,30,52,152,79.46546207,87.16692839,78.65806695,28.42362485,40.94416632,39.0455747,49.38558104,59.56740504,68.42630612,0.272635029,0.161691142,0.069213565,-0.050372885,-0.051312297,0.047767974
378,1,3,BRUEHL,Ritzville,RIT,2021,2021 Lind@RIT SWW F5 SP,SWW,SP,1,177,0,8,8,150,NA,31,44,152,76.71503958,80.28458671,71.46258629,26.93716006,39.24771408,37.52555806,45.11527931,54.37275037,62.08352833,0.245263476,0.15836458,0.066211784,-0.05754056,-0.058136176,0.035081355
378,1,3,BRUEHL,Ritzville,RIT,2021,2021 Lind@RIT SWW F5 SP,SWW,SP,1,331,0,15,9,148,NA,32,51,152,71.81837561,77.23821852,67.95505628,25.21269525,36.74839772,34.83984162,42.16136709,51.0923801,58.53297793,0.252917876,0.162718168,0.067872963,-0.063266253,-0.063936586,0.032203397
378,1,8,BRUEHL,Ritzville,RIT,2021,2021 Lind@RIT SWW F5 SP,SWW,SP,1,23,0,1,23,152,NA,29,41,152,50.23395096,53.14304936,46.41276503,17.93540716,25.35698131,24.35756487,28.10610917,35.04738958,40.2355468,0.24532129,0.177842468,0.068915447,-0.066938291,-0.067603127,0.016456192
378,1,8,BRUEHL,Ritzville,RIT,2021,2021 Lind@RIT SWW F5 SP,SWW,SP,1,254,0,12,23,150,NA,32,53,152,72.85126651,80.42925123,66.74278162,25.0244951,36.23633591,34.34766647,41.33120218,50.44443535,57.99310549,0.254780671,0.167675507,0.06961307,-0.092210205,-0.092996403,0.030856731
2,1,16,BRUEHL,Ritzville,RIT,2021,2021 AWY1 RIT,SWW,AWY1,2,47,0,6,2,148,NA,32,45,152,60.76759062,64.73990403,56.36334429,21.87915913,31.91678017,30.56446339,36.081717,43.67094392,49.74073967,0.237700358,0.159103634,0.064978978,-0.068518346,-0.069168745,0.024664882
2,1,16,BRUEHL,Pullman,PUL,2021,2021 AWY1 PUL,SWW,AWY1,2,47,0,6,2,156,NA,34,55,155,90.34707158,97.93235163,93.69571419,29.09633527,42.27400045,39.4919953,53.9264104,67.05900626,77.91876205,0.326210478,0.181827481,0.074906352,-0.021869836,-0.022108648,0.066579784
2,1,16,BRUEHL,Lind,LND,2021,2021 AWY1 LND,SWW,AWY1,2,47,0,6,2,142,NA,31,38,141,76.07581967,75.96743758,82.74056074,32.96147013,44.40755358,44.22003636,47.01138997,53.89360832,58.37912632,0.136984406,0.107202417,0.03995198,0.043272167,0.042676634,0.015619849
